ID,Marque,Type_Vehicule,Age_Vehicule,Valeur_Vehicule_DT,Kilometrage,Chevaux_Fiscaux,Place_Parking,Voiture_Entreprise,Age_Conducteur,Annees_Experience,Nombre_Accidents,Ratio_Accidents_Experience,Score_Vehicule,Score_Conducteur,Type_Vehicule_Classe,Type_Conducteur_Classe,Assurance_Recommandee
880,Peugeot,SUV,1,33147,16936,11,False,False,18,0,1,1.0,2.75,1.2,Medium Cost,À risque,Tiers
881,Audi,Voiture de luxe,5,44010,57450,12,False,False,27,4,1,0.25,2.85,2.4,Medium Cost,Modéré,Tiers Plus
882,Citroën,Break familial,1,27952,15953,6,False,False,53,20,0,0.0,2.6,3.8,Medium Cost,Expert,Tout Risque
883,Land Rover,Voiture de luxe,5,284484,124832,17,True,True,43,20,1,0.05,3.9,2.8,High Cost,Modéré,Tout Risque
884,Volvo,Berline executive,5,77017,40638,15,False,False,33,0,0,0.0,3.05,4.0,High Cost,Expert,Tout Risque
885,Land Rover,Voiture populaire,2,164413,48872,24,False,True,72,42,0,0.0,3.6,3.2,High Cost,Expert,Tout Risque
886,Ford,SUV,5,40881,76889,10,False,False,28,7,0,0.0,2.45,4.0,Medium Cost,Expert,Tout Risque
887,Citroën,SUV,4,38561,88239,13,True,True,38,19,1,0.053,2.7,2.8,Medium Cost,Modéré,Tiers Plus
888,Volvo,Break familial,13,15966,145726,8,True,False,43,9,0,0.0,2.2,4.0,Medium Cost,Expert,Tout Risque
889,Land Rover,Berline executive,3,102661,48776,19,True,True,40,8,1,0.125,3.65,2.0,High Cost,À risque,Tiers Plus
890,Jaguar,Sportive,5,246905,44303,18,False,False,74,26,0,0.0,3.7,3.6,High Cost,Expert,Tout Risque
891,Audi,Voiture de luxe,9,52197,173599,12,False,True,25,6,1,0.167,2.45,2.0,Medium Cost,À risque,Tiers
892,Infiniti,Break familial,9,21162,148235,11,False,True,63,1,0,0.0,2.1,3.4,Medium Cost,Expert,Tout Risque
893,Land Rover,Sportive,4,125757,42390,23,False,False,20,1,0,0.0,3.7,3.6,High Cost,Expert,Tout Risque
894,Chery,Berline compact,5,14573,116613,4,False,True,40,1,0,0.0,1.6,3.6,Low Cost,Expert,Tiers Plus
895,Mercedes,Berline compact,4,69795,79867,11,False,True,34,0,0,0.0,2.9,3.6,Medium Cost,Expert,Tout Risque
896,Land Rover,Berline executive,12,135243,251490,17,True,True,41,21,1,0.048,3.3,2.8,High Cost,Modéré,Tout Risque
897,Toyota,Break familial,12,15646,170186,6,False,False,45,3,2,0.667,1.45,1.6,Low Cost,À risque,Tiers
898,Lamborghini,Berline executive,10,111366,121418,23,False,False,32,9,0,0.0,3.05,4.0,High Cost,Expert,Tout Risque
899,Infiniti,SUV,10,16576,251361,15,False,True,51,22,2,0.091,2.15,2.6,Medium Cost,Modéré,Tiers Plus
900,Mercedes,Citadine,6,25358,88448,9,True,False,65,14,0,0.0,2.55,3.8,Medium Cost,Expert,Tout Risque
901,Renault,Voiture populaire,14,11381,173735,6,False,False,49,27,1,0.037,1.35,3.2,Low Cost,Expert,Tiers Plus
902,Audi,Citadine,11,12453,178855,13,True,True,74,54,0,0.0,2.05,3.2,Medium Cost,Expert,Tout Risque
903,Renault,Berline executive,9,14064,90339,10,False,False,62,36,0,0.0,1.9,3.8,Low Cost,Expert,Tiers Plus
904,Chevrolet,Berline executive,3,10410,45124,8,True,True,33,8,0,0.0,2.2,3.6,Medium Cost,Expert,Tout Risque
905,Mercedes,Berline executive,1,77529,16390,18,True,False,71,25,0,0.0,3.65,3.6,High Cost,Expert,Tout Risque
906,Jaguar,Citadine,11,34743,180688,12,True,False,69,47,1,0.021,2.55,2.8,Medium Cost,Modéré,Tiers Plus
907,Citroën,Break familial,10,14670,222278,6,True,True,64,19,0,0.0,1.95,3.4,Low Cost,Expert,Tiers Plus
908,Mercedes,Voiture populaire,8,28492,157578,11,True,False,24,5,0,0.0,2.45,4.0,Medium Cost,Expert,Tout Risque
909,Jaguar,Voiture de luxe,2,185544,20848,25,False,False,62,41,1,0.024,4.0,3.0,High Cost,Modéré,Tout Risque
910,Mercedes,Voiture de luxe,0,100286,0,11,True,True,46,28,0,0.0,3.7,3.6,High Cost,Expert,Tout Risque
911,Lexus,Break familial,8,17111,136686,9,False,True,46,3,1,0.333,2.1,1.2,Medium Cost,À risque,Tiers
912,Ford,Break familial,8,17046,121173,7,True,True,68,49,1,0.02,2.05,2.4,Medium Cost,Modéré,Tiers Plus
913,Jaguar,Break familial,5,231050,50882,15,True,False,42,24,0,0.0,3.8,4.0,High Cost,Expert,Tout Risque
914,Volkswagen,Berline compact,3,45000,40319,8,True,False,61,33,1,0.03,2.65,3.0,Medium Cost,Modéré,Tiers Plus
915,Volvo,SUV,5,37076,129309,14,True,True,50,2,0,0.0,3.0,3.6,Medium Cost,Expert,Tout Risque
916,Fiat,SUV,11,3464,143064,10,False,False,19,1,0,0.0,1.4,3.6,Low Cost,Expert,Tiers Plus
917,Bentley,Berline executive,3,413377,56981,28,False,True,72,22,0,0.0,3.6,3.2,High Cost,Expert,Tout Risque
918,Ford,Sportive,12,19124,188681,12,False,True,19,1,0,0.0,1.7,3.2,Low Cost,Expert,Tiers Plus
919,Chery,Voiture de luxe,13,10826,257369,7,True,True,60,24,1,0.042,1.65,2.6,Low Cost,Modéré,Tiers
920,Peugeot,Berline compact,13,18849,193028,7,True,True,43,24,2,0.083,1.75,2.8,Low Cost,Modéré,Tiers
921,Infiniti,Berline compact,4,84859,42776,8,True,False,66,35,1,0.029,3.2,2.8,High Cost,Modéré,Tout Risque
922,Maserati,Citadine,6,50022,81336,15,False,False,63,43,2,0.047,2.6,3.0,Medium Cost,Modéré,Tiers Plus
923,Ferrari,Citadine,10,82826,193961,22,True,True,47,7,1,0.143,3.05,2.0,High Cost,À risque,Tiers Plus
924,Jaguar,Citadine,14,81259,357237,15,True,True,36,4,0,0.0,2.85,3.6,Medium Cost,Expert,Tout Risque
925,Audi,Sportive,7,53498,155942,13,False,True,36,17,0,0.0,2.5,3.6,Medium Cost,Expert,Tout Risque
926,Lexus,SUV,6,78820,137742,12,False,True,50,15,2,0.133,2.7,2.0,Medium Cost,À risque,Tiers
927,Renault,Citadine,9,10794,80179,6,False,False,22,0,0,0.0,1.65,4.0,Low Cost,Expert,Tiers Plus
928,Land Rover,Voiture populaire,5,154437,114335,23,False,True,40,0,0,0.0,3.3,3.6,High Cost,Expert,Tout Risque
929,Audi,Voiture populaire,1,96319,10671,12,True,False,43,15,0,0.0,3.4,4.0,High Cost,Expert,Tout Risque
930,Kia,Voiture populaire,5,8475,87459,4,False,True,41,17,1,0.059,1.5,2.8,Low Cost,Modéré,Tiers
931,Porsche,Break familial,7,113087,149974,12,False,True,46,25,2,0.08,2.9,2.8,Medium Cost,Modéré,Tiers Plus
932,Toyota,Voiture de luxe,5,52060,97791,10,False,True,31,5,1,0.2,2.45,2.0,Medium Cost,À risque,Tiers
933,Fiat,Sportive,6,8723,71661,9,True,False,72,8,0,0.0,2.1,3.6,Medium Cost,Expert,Tout Risque
934,Ford,Break familial,1,45971,24237,6,True,True,51,2,0,0.0,2.9,3.4,Medium Cost,Expert,Tout Risque
935,Land Rover,Voiture populaire,7,118875,106042,12,True,False,35,6,0,0.0,3.1,4.0,High Cost,Expert,Tout Risque
936,Chevrolet,Voiture populaire,11,3321,239540,5,True,True,21,0,1,1.0,1.35,0.8,Low Cost,À risque,Tiers
937,Citroën,Break familial,11,12273,192234,9,False,False,54,15,3,0.2,1.5,2.2,Low Cost,À risque,Tiers
938,Citroën,Sportive,2,65549,40799,11,True,True,46,2,0,0.0,3.3,3.6,High Cost,Expert,Tout Risque
939,Chery,Citadine,14,3755,142529,5,False,False,66,31,0,0.0,1.15,3.6,Low Cost,Expert,Tiers Plus
940,Lamborghini,Berline executive,1,448574,17226,16,False,True,57,25,3,0.12,3.9,1.8,High Cost,À risque,Tiers Plus
941,Kia,Citadine,9,1858,211328,3,True,True,70,2,0,0.0,1.5,3.2,Low Cost,Expert,Tiers Plus
942,Land Rover,Berline compact,1,121139,13578,20,False,False,44,9,0,0.0,3.8,4.0,High Cost,Expert,Tout Risque
943,BMW,SUV,6,80523,93397,14,True,False,57,2,1,0.5,3.05,1.4,High Cost,À risque,Tiers Plus
944,Ford,Berline compact,11,9303,114702,9,True,False,28,4,0,0.0,1.9,4.0,Low Cost,Expert,Tiers Plus
945,Nissan,Sportive,0,88423,0,13,False,False,48,10,0,0.0,3.15,4.0,High Cost,Expert,Tout Risque
946,Maserati,Sportive,1,143286,22416,26,False,True,54,20,0,0.0,4.0,3.4,High Cost,Expert,Tout Risque
947,Kia,Berline compact,3,18652,61512,7,True,True,55,19,1,0.053,2.05,2.6,Medium Cost,Modéré,Tiers Plus
948,Kia,Voiture de luxe,1,36022,12933,5,False,False,18,0,0,0.0,2.5,3.6,Medium Cost,Expert,Tout Risque
949,Chery,Voiture de luxe,12,13253,198677,5,False,True,29,4,0,0.0,1.35,3.6,Low Cost,Expert,Tiers Plus
950,Land Rover,Berline compact,6,163295,74706,14,False,False,37,4,0,0.0,3.3,4.0,High Cost,Expert,Tout Risque
951,Kia,Voiture de luxe,5,11729,121987,7,False,True,30,12,0,0.0,1.85,3.6,Low Cost,Expert,Tiers Plus
952,Hyundai,SUV,8,4257,121526,8,False,True,40,17,1,0.059,1.6,2.8,Low Cost,Modéré,Tiers
953,Maserati,Break familial,10,37437,248344,15,False,True,22,0,0,0.0,2.6,3.6,Medium Cost,Expert,Tout Risque
954,Audi,Break familial,1,45085,11306,9,False,False,72,15,0,0.0,2.95,3.6,Medium Cost,Expert,Tout Risque
955,Land Rover,Voiture de luxe,9,55504,201637,20,True,True,66,32,2,0.062,3.1,2.4,High Cost,Modéré,Tout Risque
956,Dacia,Berline compact,0,20217,0,4,False,False,37,18,1,0.056,2.0,3.2,Low Cost,Expert,Tiers Plus
957,Chery,Voiture populaire,7,9382,88515,3,False,False,35,8,0,0.0,1.3,4.0,Low Cost,Expert,Tiers Plus
958,Peugeot,Berline executive,12,21587,272552,11,False,True,73,36,1,0.028,1.6,2.4,Low Cost,Modéré,Tiers
959,Volvo,Break familial,8,19643,61178,12,False,False,33,9,0,0.0,2.2,4.0,Medium Cost,Expert,Tout Risque
960,Peugeot,Voiture populaire,13,9913,103781,7,False,False,57,11,0,0.0,1.45,3.8,Low Cost,Expert,Tiers Plus
961,Lamborghini,Sportive,4,264321,65423,14,True,False,44,19,1,0.053,4.0,3.2,High Cost,Expert,Tout Risque
962,BMW,Berline executive,8,31129,86052,13,True,False,72,0,1,1.0,2.8,1.2,Medium Cost,À risque,Tiers
963,Bentley,Citadine,12,89737,135331,21,True,False,71,6,0,0.0,2.95,3.6,Medium Cost,Expert,Tout Risque
964,Audi,Citadine,9,29524,172319,10,True,True,59,31,0,0.0,2.45,3.4,Medium Cost,Expert,Tout Risque
965,Lamborghini,SUV,7,161322,56052,21,True,False,44,24,0,0.0,3.7,4.0,High Cost,Expert,Tout Risque
966,Ford,Berline executive,3,46080,61613,8,True,True,52,7,0,0.0,2.75,3.4,Medium Cost,Expert,Tout Risque
967,BMW,Berline executive,9,29151,98160,15,False,False,28,0,0,0.0,2.5,4.0,Medium Cost,Expert,Tout Risque
968,Maserati,Sportive,3,211303,68191,18,True,True,54,36,1,0.028,4.0,2.6,High Cost,Modéré,Tout Risque
969,Ferrari,Break familial,1,116692,8836,15,True,False,21,1,1,1.0,3.85,1.2,High Cost,À risque,Tiers Plus
970,Toyota,SUV,6,24919,145161,11,False,True,19,0,0,0.0,1.9,3.2,Low Cost,Expert,Tiers Plus
971,Fiat,Berline compact,10,2360,233979,4,False,True,27,2,1,0.5,1.3,1.2,Low Cost,À risque,Tiers
972,Maserati,Voiture de luxe,10,48813,141306,20,True,False,45,10,0,0.0,3.2,4.0,High Cost,Expert,Tout Risque
973,Porsche,Break familial,4,224151,91790,14,True,True,38,19,0,0.0,3.7,3.6,High Cost,Expert,Tout Risque
974,Nissan,Break familial,1,27103,22759,9,False,True,31,7,0,0.0,2.65,3.6,Medium Cost,Expert,Tout Risque
975,Maserati,Berline executive,2,262409,29782,15,True,False,66,16,2,0.125,4.2,2.0,High Cost,À risque,Tiers Plus
976,Fiat,Voiture populaire,1,8122,11900,6,False,False,62,1,0,0.0,1.95,3.8,Low Cost,Expert,Tiers Plus
977,Land Rover,Berline compact,6,67418,120558,18,False,True,31,11,0,0.0,2.95,3.6,Medium Cost,Expert,Tout Risque
978,Volvo,Citadine,13,13558,113696,10,False,False,54,23,0,0.0,1.8,3.8,Low Cost,Expert,Tiers Plus
979,Volvo,Berline compact,7,45091,176748,10,True,True,41,0,1,1.0,2.55,1.2,Medium Cost,À risque,Tiers
980,Kia,Voiture de luxe,11,7358,82547,10,False,False,51,10,1,0.1,1.5,3.0,Low Cost,Modéré,Tiers
981,Audi,Break familial,2,63293,39370,10,False,False,35,7,0,0.0,3.1,4.0,High Cost,Expert,Tout Risque
982,Ford,SUV,12,21972,267722,12,False,True,50,29,1,0.034,1.6,2.8,Low Cost,Modéré,Tiers
983,Chevrolet,Voiture de luxe,14,10567,129911,8,False,False,45,6,0,0.0,1.5,4.0,Low Cost,Expert,Tiers Plus
984,Maserati,Break familial,11,40108,160233,16,True,True,21,1,0,0.0,2.7,3.2,Medium Cost,Expert,Tout Risque
985,Porsche,SUV,8,127369,167542,25,False,True,48,14,0,0.0,3.2,3.6,High Cost,Expert,Tout Risque
986,Maserati,Berline compact,3,246438,47729,23,False,True,20,2,1,0.5,3.5,0.8,High Cost,À risque,Tiers Plus
987,Ferrari,Berline executive,12,99038,101467,17,False,False,68,17,0,0.0,2.85,3.6,Medium Cost,Expert,Tout Risque
988,Land Rover,SUV,12,44369,282828,18,False,True,36,6,0,0.0,2.5,3.6,Medium Cost,Expert,Tout Risque
989,Volvo,Voiture populaire,10,11281,76915,10,True,False,45,20,1,0.05,2.4,3.2,Medium Cost,Expert,Tout Risque
990,Chevrolet,Citadine,13,4361,215612,4,True,True,39,2,0,0.0,1.3,3.6,Low Cost,Expert,Tiers Plus
991,Citroën,Berline compact,1,30675,16434,7,False,False,61,28,2,0.071,2.6,3.0,Medium Cost,Modéré,Tiers Plus
992,Chevrolet,Citadine,1,13024,25140,4,False,True,27,1,1,1.0,1.9,1.2,Low Cost,À risque,Tiers
993,Ferrari,Citadine,7,54816,67891,17,False,False,57,18,1,0.056,2.7,3.0,Medium Cost,Modéré,Tiers Plus
994,Kia,Break familial,0,17999,0,3,False,True,49,4,0,0.0,2.0,3.6,Low Cost,Expert,Tiers Plus
995,Volvo,SUV,7,70878,120115,18,True,False,32,4,2,0.5,3.05,1.6,High Cost,À risque,Tiers Plus
996,Nissan,Voiture de luxe,1,28898,24575,11,False,True,41,1,0,0.0,2.85,3.6,Medium Cost,Expert,Tout Risque
997,Dacia,SUV,10,4097,107181,7,True,False,25,5,0,0.0,1.85,4.0,Low Cost,Expert,Tiers Plus
998,Peugeot,Berline executive,11,12569,202488,12,True,True,64,45,1,0.022,1.9,2.6,Low Cost,Modéré,Tiers
999,Volkswagen,Sportive,12,21908,207963,10,True,True,38,20,0,0.0,2.0,3.6,Low Cost,Expert,Tiers Plus
1000,Chery,Berline compact,5,5438,71309,3,True,False,64,45,0,0.0,2.0,3.8,Low Cost,Expert,Tiers Plus
